1        10.56    10.58    10.55    10.49
2        10.40    10.40    10.43    10.39
4        10.36    10.36    10.38    10.38
8        10.35    10.35    10.40    10.34
16       10.33    10.31    10.33    10.31
32       10.88    10.62    10.71    10.63
64       10.36    10.33    10.32    10.30
128      11.02    10.93    10.96    10.83
256      11.16    11.11    11.13    11.08
512      10.91    10.90    10.77    10.68
1024     11.97    11.81    11.88    11.81
2048     12.56    12.50    12.53    12.51
4096     13.72    13.68    13.71    13.72
8192     20.52    20.51    20.51    20.56
16384    24.13    24.77    24.31    24.27
32768    1460.23  1464.46  1460.39  1462.47
65536    1499.34  1501.76  1503.81  1507.26
131072   1589.10  1596.47  1594.01  1593.69
262144   1767.61  1773.56  1772.73  1777.35
524288   2166.80  2165.28  2163.22  2181.83
1048576  3097.84  3099.98  3101.04  3092.28
2097152  5067.68  5072.16  5069.97  5064.59
