1        8.80     8.80     8.82     8.82
2        8.73     8.75     8.72     8.73
4        8.76     8.77     8.79     8.76
8        8.76     8.72     8.76     8.74
16       8.79     8.78     8.77     8.78
32       9.52     9.49     9.49     9.49
64       9.66     9.68     9.64     9.64
128      9.78     9.77     9.80     9.79
256      10.29    10.25    10.30    10.30
512      10.97    10.93    10.96    10.98
1024     12.13    12.09    12.10    12.11
2048     14.38    14.35    14.38    14.39
4096     19.59    19.52    19.56    19.60
8192     24.64    24.62    24.59    24.67
16384    44.75    44.62    44.73    44.82
32768    82.57    82.81    82.44    83.49
65536    134.16   134.22   134.43   134.30
131072   214.75   214.73   214.61   214.47
262144   372.75   373.14   373.13   372.46
524288   685.76   687.84   685.76   685.31
1048576  1469.72  1468.28  1465.00  1468.52
2097152  3207.22  3209.70  3208.46  3208.32
4194304  5429.80  5429.76  5430.35  5428.68
