1        5.87     5.29     5.85     5.27
2        5.83     5.25     5.81     5.26
4        5.79     5.27     5.80     5.25
8        5.80     5.26     5.80     5.25
16       5.78     5.24     5.79     5.25
32       5.79     5.24     5.78     5.25
64       5.86     5.31     5.88     5.33
128      5.92     5.37     5.95     5.38
256      6.06     5.52     6.13     5.55
512      6.31     5.74     6.37     5.75
1024     6.71     6.16     6.88     6.17
2048     7.12     6.53     7.80     6.54
4096     8.22     7.65     9.46     7.67
8192     13.15    12.12    16.00    12.09
16384    17.51    16.42    24.22    16.81
32768    40.59    38.75    49.70    38.39
65536    88.28    85.26    92.80    84.54
131072   147.98   144.88   159.01   145.67
262144   238.46   233.80   254.73   232.85
524288   418.45   411.03   448.06   411.18
1048576  990.73   970.80   1033.46  976.00
2097152  2239.61  2234.21  2359.87  2222.86
4194304  3338.85  3333.33  3454.75  3340.51
