1        7.54     7.55     7.52     7.54
2        7.41     7.45     7.40     7.42
4        7.51     7.40     7.47     7.48
8        7.44     7.52     7.54     7.43
16       7.52     7.55     7.43     7.52
32       7.54     7.50     7.52     7.49
64       7.67     7.68     7.58     7.67
128      7.77     7.89     7.84     7.76
256      9.00     8.94     8.97     8.99
512      9.55     9.68     9.68     9.55
1024     10.87    10.80    10.80    10.86
2048     13.36    13.47    13.45    13.38
4096     18.35    18.34    18.33    18.34
8192     27.64    27.70    27.73    27.67
16384    36.63    36.67    36.79    36.50
32768    52.75    52.88    52.73    52.66
65536    84.71    84.67    84.80    84.43
131072   148.85   149.18   149.12   148.75
262144   279.55   279.60   279.71   279.35
524288   542.45   542.28   542.06   542.17
1048576  1202.90  1202.56  1202.72  1203.89
2097152  2575.43  2576.25  2577.48  2575.22
4194304  5320.02  5320.46  5319.82  5318.73
