# TestName Variant NumThreads   MinTime MedianTime MaxTime  Productivity1 Productivity2 Productivity3
#    
# Mon Apr 20 16:30:34 EDT 2015
# Linux cutter16 3.2.0-59-generic #90-Ubuntu SMP Tue Jan 7 22:43:51 UTC 2014 x86_64 x86_64 x86_64 GNU/Linux
# Ran by: adkulkar 
# Determined machine to have 1 hardware threads.
# 
# Running each test for 5 trial(s).
# Git_Branch: 
# Git_Hash: 
# Git_Depth: 0
#  Path registry: fromList []
parfib                              30                   qthreads  16   0.3217617 0.3342299 0.356505   0 0 0
parfib                              30                   qthreads  32   1.3680533 2.3337874 4.2829912   0 0 0
# parfib                              35                   qthreads  1    ALL_ERRORS
parfib                              35                   qthreads  2    3.8237395 3.9043037 3.9113739   0 0 0
parfib                              35                   qthreads  4    3.4553023 3.4696578 3.617137   0 0 0
parfib                              35                   qthreads  8    4.4897075 4.5222093 4.7975476   0 0 0
parfib                              35                   qthreads  12   5.6284602 5.7187827 6.2373101   0 0 0
parfib                              35                   qthreads  16   3.6394415 3.7379942 3.9349704   0 0 0
parfib                              35                   qthreads  32   28.5754539 42.1694056 74.7301324   0 0 0
# parfib                              37                   qthreads  1    ALL_ERRORS
parfib                              37                   qthreads  2    9.9584212 10.0007399 10.171855   0 0 0
parfib                              37                   qthreads  4    9.0261102 9.0920445 9.4574329   0 0 0
parfib                              37                   qthreads  8    11.7718184 11.8223671 11.8739771   0 0 0
parfib                              37                   qthreads  12   14.8872556 15.2894084 17.1761811   0 0 0
parfib                              37                   qthreads  16   9.1546154 9.7053635 10.2107133   0 0 0
parfib                              37                   qthreads  32   62.0309748 100.692217 129.6570518   0 0 0
parfib                              30                   tbb      1    0.1517168 0.1521967 0.1527082   0 0 0
parfib                              30                   tbb      2    0.0756939 0.0757235 0.0758758   0 0 0
parfib                              30                   tbb      4    0.0389049 0.0393204 0.0393859   0 0 0
parfib                              30                   tbb      8    0.0212613 0.0214563 0.0214885   0 0 0
parfib                              30                   tbb      12   0.0146551 0.0155216 0.0158307   0 0 0
parfib                              30                   tbb      16   0.0124363 0.0129214 0.0137993   0 0 0
parfib                              30                   tbb      32   0.0121228 0.0139405 0.0143413   0 0 0
parfib                              35                   tbb      1    1.672707 1.6741237 1.6743273   0 0 0
parfib                              35                   tbb      2    0.8378887 0.8379937 0.840096   0 0 0
parfib                              35                   tbb      4    0.4274462 0.4279049 0.4282867   0 0 0
parfib                              35                   tbb      8    0.2214056 0.2233735 0.2244139   0 0 0
parfib                              35                   tbb      12   0.1526016 0.1534811 0.1536631   0 0 0
parfib                              35                   tbb      16   0.1165058 0.1174938 0.1241622   0 0 0
parfib                              35                   tbb      32   0.1182546 0.1236791 0.1302624   0 0 0
parfib                              37                   tbb      1    4.3734209 4.3739676 4.375514   0 0 0
parfib                              37                   tbb      2    2.1945153 2.1982749 2.198803   0 0 0
parfib                              37                   tbb      4    1.1169006 1.1175409 1.1178655   0 0 0
parfib                              37                   tbb      8    0.5774342 0.5789263 0.5801824   0 0 0
parfib                              37                   tbb      12   0.3984179 0.3999882 0.4016289   0 0 0
parfib                              37                   tbb      16   0.3032128 0.3043186 0.3068529   0 0 0
parfib                              37                   tbb      32   0.3118693 0.3139804 0.3209657   0 0 0
seqspawn                            2000000              cilk     1    0.0455807 0.0458622 0.0458712   0 0 0
seqspawn                            2000000              cilk     2    0.0615812 0.0636313 0.0638421   0 0 0
seqspawn                            2000000              cilk     4    0.0658229 0.0668755 0.067346   0 0 0
seqspawn                            2000000              cilk     8    0.0721614 0.0740238 0.0745518   0 0 0
seqspawn                            2000000              cilk     12   0.0742562 0.0755247 0.077869   0 0 0
seqspawn                            2000000              cilk     16   0.0735926 0.0755787 0.080153   0 0 0
seqspawn                            2000000              cilk     32   0.0616135 0.0822576 0.0868151   0 0 0
seqspawn                            5000000              cilk     1    0.1144892 0.1145106 0.1145698   0 0 0
seqspawn                            5000000              cilk     2    0.1583707 0.1595878 0.1602908   0 0 0
seqspawn                            5000000              cilk     4    0.1651355 0.1664273 0.1674344   0 0 0
seqspawn                            5000000              cilk     8    0.1795743 0.1828131 0.1868206   0 0 0
seqspawn                            5000000              cilk     12   0.1848099 0.1866305 0.1940427   0 0 0
seqspawn                            5000000              cilk     16   0.1753196 0.1844123 0.1862851   0 0 0
seqspawn                            5000000              cilk     32   0.1404305 0.164664 0.1816777   0 0 0
seqspawn                            10000000             cilk     1    0.2285285 0.2287489 0.2291285   0 0 0
seqspawn                            10000000             cilk     2    0.3151402 0.3184231 0.3196212   0 0 0
seqspawn                            10000000             cilk     4    0.3314308 0.3338857 0.3377563   0 0 0
seqspawn                            10000000             cilk     8    0.3655739 0.3690055 0.3736108   0 0 0
seqspawn                            10000000             cilk     12   0.3605689 0.3748399 0.381641   0 0 0
seqspawn                            10000000             cilk     16   0.3611115 0.3700846 0.3830947   0 0 0
seqspawn                            10000000             cilk     32   0.291081 0.3065201 0.3140941   0 0 0
seqspawn                            2000000              hpx      1    1.6798445 1.6798445 1.6798445   0 0 0
