04-06-2015, 1, 256415,255244,255322,255439,255012
04-06-2015, 2, 255283,257675,255478,255906,256532
04-06-2015, 4, 256493,255089,256689,256650,256180
04-06-2015, 8, 257161,258788,256063,256297,256768
04-06-2015, 16, 256493,256611,256493,257438,256847
05-06-2015, 1, 257043,255594,255672,255672,256297
05-06-2015, 2, 255206,256023,255633,256376,255478
05-06-2015, 4, 254934,255984,256768,254393,257083
05-06-2015, 8, 256063,256023,256532,254432,255244
05-06-2015, 16, 256925,256650,256336,257280,257004
05-06-2015, 1, 163425,163218,163632,164354,161366
05-06-2015, 2,
05-06-2015, 4,
05-06-2015, 8,
05-06-2015, 16,
06-06-2015, 1, 142397,150739,144956,151981,152174
06-06-2015, 2,
07-06-2015, 4,
07-06-2015, 8,
07-06-2015, 16,
