, 24-10-2015, 1,
, 25-10-2015, 1,
, 27-10-2015, 1,
, 24-10-2015, 2,
, 25-10-2015, 2,
, 27-10-2015, 2,
, 24-10-2015, 4,
, 25-10-2015, 4,
, 27-10-2015, 4,
, 24-10-2015, 8,
, 25-10-2015, 8,
, 27-10-2015, 8,
, 24-10-2015, 16,
, 25-10-2015, 16,
, 27-10-2015, 16,
, 29-10-2015, 1,
, 29-10-2015, 2,
, 29-10-2015, 4,
, 29-10-2015, 8,
, 29-10-2015, 16,
, 01-11-2015, 1,
, 02-11-2015, 1,
, 30-10-2015, 1,
, 31-10-2015, 1,
, 01-11-2015, 2,
, 02-11-2015, 2,
, 30-10-2015, 2,
, 31-10-2015, 2,
, 01-11-2015, 4,
, 02-11-2015, 4,
, 30-10-2015, 4,
, 31-10-2015, 4,
, 01-11-2015, 8,
, 02-11-2015, 8,
, 30-10-2015, 8,
, 31-10-2015, 8,
, 01-11-2015, 16,
, 02-11-2015, 16,
, 30-10-2015, 16,
, 31-10-2015, 16,
