28-05-2015:15:39:59
bigred2_ugni, parspawn(10000000), 1, 8.6419411
bigred2_ugni, parspawn(10000000), 2, 8.6951461
bigred2_ugni, parspawn(10000000), 4, 8.9181817
bigred2_ugni, parspawn(10000000), 8, 8.7042994
bigred2_ugni, parspawn(10000000), 16, 8.6482329
bigred2_ugni, parspawn(2000000), 1, 1.7546750
bigred2_ugni, parspawn(2000000), 2, 1.7539254
bigred2_ugni, parspawn(2000000), 4, 1.7702836
bigred2_ugni, parspawn(2000000), 8, 1.7190580
bigred2_ugni, parspawn(2000000), 16, 1.7534282
bigred2_ugni, parspawn(5000000), 1, 4.3376367
bigred2_ugni, parspawn(5000000), 2, 4.3119603
bigred2_ugni, parspawn(5000000), 4, 4.3517806
bigred2_ugni, parspawn(5000000), 8, 4.3313553
bigred2_ugni, parspawn(5000000), 16, 4.3159034
