28-05-2015:15:39:58
bigred2_ugni, parspawn(10000000), 1, 9.6669004
bigred2_ugni, parspawn(10000000), 2, 9.6170070
bigred2_ugni, parspawn(10000000), 4, 9.5626962
bigred2_ugni, parspawn(10000000), 8, 9.5590860
bigred2_ugni, parspawn(10000000), 16, 9.8603190
bigred2_ugni, parspawn(2000000), 1, 1.9241093
bigred2_ugni, parspawn(2000000), 2, 1.9100982
bigred2_ugni, parspawn(2000000), 4, 1.9574664
bigred2_ugni, parspawn(2000000), 8, 1.9231462
bigred2_ugni, parspawn(2000000), 16, 1.9771306
bigred2_ugni, parspawn(5000000), 1, 4.8473657
bigred2_ugni, parspawn(5000000), 2, 4.8459566
bigred2_ugni, parspawn(5000000), 4, 4.9134824
bigred2_ugni, parspawn(5000000), 8, 4.8717836
bigred2_ugni, parspawn(5000000), 16, 4.9786779
