28-05-2015:15:39:59
bigred2_ugni, fib(30), 1, 3.7643769
bigred2_ugni, fib(30), 2, 3.8038877
bigred2_ugni, fib(30), 4, 3.8400147
bigred2_ugni, fib(30), 8, 3.7384697
bigred2_ugni, fib(30), 16, 3.7644652
bigred2_ugni, fib(35), 1, 41.5129886
bigred2_ugni, fib(35), 2, 41.4727308
bigred2_ugni, fib(35), 4, 41.5334043
bigred2_ugni, fib(35), 8, 41.3902545
bigred2_ugni, fib(35), 16, 42.0426372
bigred2_ugni, fib(37), 1, 108.8164055
bigred2_ugni, fib(37), 2, 109.3544182
bigred2_ugni, fib(37), 4, 109.4140366
bigred2_ugni, fib(37), 8, 108.2177175
bigred2_ugni, fib(37), 16, 109.8088438
