1        9.72     9.72     9.70     9.89
2        9.66     9.68     9.67     9.82
4        9.66     9.67     9.71     9.79
8        9.66     9.66     9.76     9.83
16       9.66     9.65     9.73     9.79
32       9.61     9.68     9.74     9.74
64       9.71     9.76     9.83     9.97
128      9.83     9.86     9.97     9.98
256      9.99     10.06    10.08    10.12
512      10.24    10.30    10.25    10.27
1024     10.83    10.90    10.80    10.78
2048     11.46    11.46    11.45    11.41
4096     13.40    13.35    13.45    13.33
8192     17.51    17.50    17.52    17.55
16384    22.54    22.90    22.79    22.73
32768    33.99    34.07    34.34    34.33
65536    55.66    55.58    55.55    56.55
131072   98.29    98.00    98.42    99.34
262144   182.59   182.51   182.95   183.69
524288   353.40   351.25   351.55   352.60
1048576  760.96   756.78   760.57   768.36
2097152  1706.87  1698.13  1706.16  1688.15
