r100,c1 1  4.31327725011542896e+02
r100,c1 4  7.31291680818651366e+04
r100,c1 8  2.04364471634304966e+05
r100,c1 16  4.40699370794795279e+05
r100,c1 32  6.66447700861286605e+05
r100,c1 64  1.31875713729816047e+06
r100,c1 128  3.27787607669956097e+06


r100,c12 2  1.00364952706179101e+04
r100,c12 4  5.77528149042471923e+04
r100,c12 8  1.12273540991155518e+05
r100,c12 16  1.36429438649260759e+05
r100,c12 64  5.21482481158144947e+05


r100,c16 1  4.29554149997166096e+04
r100,c16 2  1.16078093076718487e+04
r100,c16 4  5.67511596974576605e+04
r100,c16 8  9.60808755478987005e+04
r100,c16 16  1.46259075507614558e+05
r100,c16 32  2.36728625945449428e+05
r100,c16 64  4.79141920237899118e+05


r100,c2 1  1.18013261114712896e+03
r100,c2 4  1.05851395989257828e+05
r100,c2 8  2.73918959918051027e+05
r100,c2 16  5.72102568876323057e+05
r100,c2 32  8.79595830683458480e+05
r100,c2 64  1.73195526005622954e+06
r100,c2 128  4.26951346487409621e+06


r100,c3 1  1.54436053693287863e+03
r100,c3 4  1.18088710281159743e+05
r100,c3 8  2.84959699903231929e+05
r100,c3 16  5.85944967061210889e+05
r100,c3 32  9.21038418867686181e+05
r100,c3 64  7.08451530748755205e+05
r100,c3 128  2.14626641758889239e+06


r100,c4 1  3.30731927514505287e+03
r100,c4 4  5.77996898290443060e+04
r100,c4 16  4.29523868908389413e+04
r100,c4 32  2.26911468156852497e+05
r100,c4 64  6.16313009721593116e+05
r100,c4 128  5.20709978988472547e+05


r100,c8 1  1.12827384825318131e+04
r100,c8 2  6.45937764320341012e+03
r100,c8 4  4.25969928768031459e+04
r100,c8 16  7.75669084812211076e+04
r100,c8 32  2.23492176223312737e+05
r100,c8 64  3.99167013923720573e+05
r100,c8 128  7.34541055951631744e+05


r300,c1 1  5.32236178798933679e+02
r300,c1 4  6.91951529140051134e+04
r300,c1 8  1.47617872969467717e+05
r300,c1 16  3.44147714159467141e+05
r300,c1 16  4.38092430956546334e+05
r300,c1 32  6.73105488723462098e+05
r300,c1 64  1.33476928415130987e+06
r300,c1 128  2.62205541253710864e+06
r300,c1 256  5.25842684275800828e+06


r300,c12 1  2.53529718024096765e+04
r300,c12 2  1.15551557485932390e+04
r300,c12 4  5.98322012158141151e+04
r300,c12 8  1.17834568792529768e+05
r300,c12 16  1.57628830747078318e+05
r300,c12 16  1.86192074693912291e+05
r300,c12 32  3.47390003446846793e+05
r300,c12 64  6.39651635242121061e+05
r300,c12 128  1.21090525562061067e+06
r300,c12 256  2.43959498606873071e+06


r300,c16 1  4.04370237847305252e+04
r300,c16 2  1.36773881999068726e+04
r300,c16 4  6.06905793441135684e+04
r300,c16 8  1.06930979598005331e+05
r300,c16 16  1.50895202336924878e+05
r300,c16 16  1.69383850382589502e+05
r300,c16 32  2.98021350309456931e+05
r300,c16 64  6.06541617908610730e+05
r300,c16 128  1.16087926634083618e+06


r300,c2 1  1.25328311447301758e+03
r300,c2 4  1.05413555057948906e+05
r300,c2 8  2.13846871809839271e+05
r300,c2 16  4.55042647206156340e+05
r300,c2 16  5.72994280915806652e+05
r300,c2 32  8.94494610304289614e+05
r300,c2 64  1.76840478602343192e+06
r300,c2 128  3.46604040739503782e+06
r300,c2 256  6.89683370957862958e+06


r300,c3 1  1.67090816947435906e+03
r300,c3 4  1.17624983534626124e+05
r300,c3 16  4.83124803221426904e+05
r300,c3 16  5.92739540906538488e+05
r300,c3 64  4.53373708034624637e+05
r300,c3 128  1.07630127221390512e+06
r300,c3 256  1.33705089580774424e+06


r300,c4 1  3.78593292387116844e+03
r300,c4 4  3.17105958129480132e+04
r300,c4 8  8.61785698975446139e+04
r300,c4 16  1.35471125985125866e+05
r300,c4 16  6.46488198342106552e+04
r300,c4 32  2.70077078009454010e+05
r300,c4 64  5.42550956764296163e+05
r300,c4 128  1.26832062685352587e+06
r300,c4 256  2.09973097780845361e+06


r300,c8 1  1.15834611906718274e+04
r300,c8 2  7.92538019712860296e+03
r300,c8 4  4.43379450644114040e+04
r300,c8 16  1.08492418182409499e+05
r300,c8 16  1.45975025890152028e+05
r300,c8 64  5.04814793859678728e+05
r300,c8 128  1.08005994444945152e+06
r300,c8 256  2.09049693908814923e+06


r500,c1 1  4.31121506981158461e+02
r500,c1 4  5.39616321218212397e+04
r500,c1 8  1.42018148956081393e+05
r500,c1 16  4.14794316267210175e+05
r500,c1 32  8.52394046013993211e+05
r500,c1 64  1.69588032946331869e+06
r500,c1 128  2.62613572019058140e+06


r500,c12 1  2.49011567312043953e+04
r500,c12 2  1.13719677801277812e+04
r500,c12 4  6.25189974283745105e+04
r500,c12 8  1.44934133018929628e+05
r500,c12 16  2.00878815822740144e+05
r500,c12 32  3.32089579910839500e+05
r500,c12 64  6.35465278192884871e+05
r500,c12 128  1.26337021672556363e+06


r500,c16 1  4.19616399654836277e+04
r500,c16 2  1.16677514936180705e+04
r500,c16 16  1.82670396262391034e+05
r500,c16 32  3.27096378570030618e+05
r500,c16 64  6.32646339508413454e+05
r500,c16 128  1.19508832806675672e+06


r500,c2 1  1.05809196460919929e+03
r500,c2 4  8.39179804544262443e+04
r500,c2 8  2.09233769783755357e+05
r500,c2 16  5.69244183403634815e+05
r500,c2 32  1.11851322722156323e+06
r500,c2 64  2.22265062303506583e+06
r500,c2 128  3.48182708096247260e+06


r500,c3 1  1.71325290663980581e+03
r500,c3 4  9.62490606402927806e+04
r500,c3 8  2.25207812847730791e+05
r500,c3 16  5.84037319429809577e+05
r500,c3 32  1.16877055034183851e+06
r500,c3 64  6.82438038653188152e+05
r500,c3 128  1.20192959449432115e+06


r500,c4 1  3.28697649134248741e+03
r500,c4 8  1.18182033070436417e+05
r500,c4 16  9.40876746039467253e+04
r500,c4 32  1.68197495811139728e+05
r500,c4 64  3.06907610655599157e+05
r500,c4 128  1.03722351778304949e+06


r500,c8 1  1.42121294312738319e+04
r500,c8 2  6.62483660201980911e+03
r500,c8 8  1.01937913406489650e+05
r500,c8 16  1.24778005525971632e+05
r500,c8 64  4.52227807525557175e+05
r500,c8 128  1.14659622200072487e+06
