3ea1609, 18-07-2015, 1024, 13.57
3ea1609, 18-07-2015, 2048, 14.19
3ea1609, 18-07-2015, 4096, 14.92
3ea1609, 18-07-2015, 8192, 16.73
3ea1609, 18-07-2015, 16384, 19.48
3ea1609, 18-07-2015, 32768, 26.21
3ea1609, 18-07-2015, 65536, 37.23
3ea1609, 18-07-2015, 131072, 59.73
3ea1609, 18-07-2015, 262144, 102.71
3ea1609, 18-07-2015, 524288, 190.06
3ea1609, 18-07-2015, 1048576, 364.22
3ea1609, 18-07-2015, 2097152, 715.63
3ea1609, 18-07-2015, 4194304, 1417.26
3ea1609, 19-07-2015, 1, 12.56
3ea1609, 19-07-2015, 2, 12.39
3ea1609, 19-07-2015, 4, 12.48
3ea1609, 19-07-2015, 8, 12.41
3ea1609, 19-07-2015, 16, 12.41
3ea1609, 19-07-2015, 32, 12.80
3ea1609, 19-07-2015, 64, 12.82
3ea1609, 19-07-2015, 128, 12.87
3ea1609, 19-07-2015, 256, 12.96
3ea1609, 19-07-2015, 512, 13.26
3ea1609, 19-07-2015, 1024, 13.60
3ea1609, 19-07-2015, 2048, 14.21
3ea1609, 19-07-2015, 4096, 14.95
3ea1609, 19-07-2015, 8192, 16.73
3ea1609, 19-07-2015, 16384, 19.66
3ea1609, 19-07-2015, 32768, 26.27
3ea1609, 19-07-2015, 65536, 37.51
3ea1609, 19-07-2015, 131072, 59.84
3ea1609, 19-07-2015, 262144, 102.63
3ea1609, 19-07-2015, 524288, 188.97
3ea1609, 19-07-2015, 1048576, 361.64
3ea1609, 19-07-2015, 2097152, 710.44
3ea1609, 19-07-2015, 4194304, 1443.38
a88dfe1, 20-07-2015, 1, 10.21
a88dfe1, 20-07-2015, 2, 9.97
a88dfe1, 20-07-2015, 4, 10.09
a88dfe1, 20-07-2015, 8, 10.06
a88dfe1, 20-07-2015, 16, 10.06
a88dfe1, 20-07-2015, 32, 9.66
a88dfe1, 20-07-2015, 64, 9.73
a88dfe1, 20-07-2015, 128, 10.14
a88dfe1, 20-07-2015, 256, 10.42
a88dfe1, 20-07-2015, 512, 10.65
a88dfe1, 20-07-2015, 1024, 11.20
a88dfe1, 20-07-2015, 2048, 12.66
a88dfe1, 20-07-2015, 4096, 13.19
a88dfe1, 20-07-2015, 8192, 14.17
a88dfe1, 20-07-2015, 16384, 17.17
a88dfe1, 20-07-2015, 32768, 22.84
a88dfe1, 20-07-2015, 65536, 34.19
a88dfe1, 20-07-2015, 131072, 55.86
a88dfe1, 20-07-2015, 262144, 99.04
a88dfe1, 20-07-2015, 524288, 186.06
a88dfe1, 20-07-2015, 1048576, 358.32
a88dfe1, 20-07-2015, 2097152, 725.16
a88dfe1, 20-07-2015, 4194304, 1449.73
2a5eaf3, 21-07-2015, 1, 10.72
2a5eaf3, 21-07-2015, 2, 10.74
