365ebe3_35ff576,30-06-2015,125,48,0.3074573
365ebe3_35ff576,30-06-2015,125,48,0.3070349
365ebe3_35ff576,30-06-2015,125,48,0.3020666
00ae069_35ff576,01-07-2015,125,48,0.2728781
00ae069_35ff576,01-07-2015,125,48,0.2732057
00ae069_35ff576,01-07-2015,125,48,0.2716048
d3511be_35ff576,02-07-2015,125,48,0.3122557
d3511be_35ff576,02-07-2015,125,48,0.3114625
d3511be_35ff576,02-07-2015,125,48,0.310075
6874bfe_35ff576,03-07-2015,125,48,0.3070928
6874bfe_35ff576,03-07-2015,125,48,0.3058686
6874bfe_35ff576,03-07-2015,125,48,0.3079889
315c167_35ff576,04-07-2015,125,48,0.3046689
315c167_35ff576,04-07-2015,125,48,0.3066122
315c167_35ff576,04-07-2015,125,48,0.3136828
315c167_35ff576,06-07-2015,125,48,0.2731248
315c167_35ff576,06-07-2015,125,48,0.2695662
315c167_35ff576,06-07-2015,125,48,0.2746068
73327ae_35ff576,09-07-2015,125,48,0.4056826
73327ae_35ff576,09-07-2015,125,48,0.4047523
73327ae_35ff576,09-07-2015,125,48,0.4136249
5f1706b_35ff576,10-07-2015,125,48,0.4026467
5f1706b_35ff576,10-07-2015,125,48,0.4064229
5f1706b_35ff576,10-07-2015,125,48,0.4038218
eb614bb_35ff576,11-07-2015,125,48,0.3187646
eb614bb_35ff576,11-07-2015,125,48,0.315782
eb614bb_35ff576,11-07-2015,125,48,0.3277453
f326cd3_35ff576,12-07-2015,125,48,0.3288052
f326cd3_35ff576,12-07-2015,125,48,0.3210339
f326cd3_35ff576,12-07-2015,125,48,0.3387402
0e081a9_35ff576,14-07-2015,125,48,0.3121975
0e081a9_35ff576,14-07-2015,125,48,0.3129621
0e081a9_35ff576,14-07-2015,125,48,0.3086334
99df208_35ff576,15-07-2015,125,48,0.3154381
99df208_35ff576,15-07-2015,125,48,0.3186958
99df208_35ff576,15-07-2015,125,48,0.3139967
3ea1609_cc7c4b2,18-07-2015,125,48,0.2019275
3ea1609_cc7c4b2,18-07-2015,125,48,0.2050278
3ea1609_cc7c4b2,18-07-2015,125,48,0.19432
a88dfe1_cc7c4b2,20-07-2015,125,48,0.2353763
a88dfe1_cc7c4b2,20-07-2015,125,48,0.2309832
a88dfe1_cc7c4b2,20-07-2015,125,48,0.2323468
5173daa_cc7c4b2,21-07-2015,125,48,0.2050644
5173daa_cc7c4b2,21-07-2015,125,48,0.2085179
5173daa_cc7c4b2,21-07-2015,125,48,0.2023706
d36ac97_cc7c4b2,22-07-2015,125,48,0.2411471
d36ac97_cc7c4b2,22-07-2015,125,48,0.2414037
d36ac97_cc7c4b2,22-07-2015,125,48,0.2421691
