1       4.77    
2       4.75    
4       4.75    
8       4.74    
16      4.75    
32      4.81    
64      4.87    
128     5.00    
256     5.08    
512     5.68    
1024    6.77    
2048    8.90    
4096    13.17   
8192    16.56   
16384   23.26   
32768   36.77   
65536   63.51   
131072  117.22  
262144  224.53  
524288  439.25  
1048576 868.45  
2097152 1727.04 
4194304 3444.24
