, 20-10-2015, 1,
, 21-10-2015, 1,
, 24-10-2015, 1,
, 27-10-2015, 1,
, 29-10-2015, 1,
, 20-10-2015, 2,
, 21-10-2015, 2,
, 24-10-2015, 2,
, 28-10-2015, 2,
, 29-10-2015, 2,
, 20-10-2015, 4,
, 21-10-2015, 4,
, 24-10-2015, 4,
, 28-10-2015, 4,
, 29-10-2015, 4,
, 20-10-2015, 8,
, 21-10-2015, 8,
, 24-10-2015, 8,
, 27-10-2015, 8,
, 29-10-2015, 8,
, 20-10-2015, 16,
, 21-10-2015, 16,
, 24-10-2015, 16,
, 27-10-2015, 16,
, 29-10-2015, 16,
, 31-10-2015, 1,
, 31-10-2015, 1,
, 31-10-2015, 2,
, 31-10-2015, 2,
, 31-10-2015, 4,
, 31-10-2015, 4,
, 31-10-2015, 8,
, 31-10-2015, 8,
, 31-10-2015, 16,
, 31-10-2015, 16,
