27-06-2015,COMMIT_ID,125,48,0.2431379125,48,0.2436695125,48,0.2510096
27-06-2015,COMMIT_ID,64,48,0.326936164,48,0.339383264,48,0.3277252
27-06-2015,COMMIT_ID,64,48,0.252093564,48,0.281185664,48,0.2585172
27-06-2015,COMMIT_ID,125,48,0.2689291125,48,0.2730565125,48,0.2739663
27-06-2015,COMMIT_ID,125,48,0.3289792
27-06-2015,COMMIT_ID,125,48,0.3301381
27-06-2015,COMMIT_ID,125,48,0.319927
27-06-2015,COMMIT_ID,125,48,0.2961475
27-06-2015,COMMIT_ID,125,48,0.2918963
27-06-2015,COMMIT_ID,125,48,0.2962537
27-06-2015,COMMIT_ID,64,48,0.2548934
27-06-2015,COMMIT_ID,64,48,0.2668523
27-06-2015,COMMIT_ID,64,48,0.2618587
27-06-2015,COMMIT_ID,64,48,0.2509396
27-06-2015,COMMIT_ID,64,48,0.267698
27-06-2015,COMMIT_ID,64,48,0.2633838
15adc59_35ff576,29-06-2015,125,48,0.2763338
15adc59_35ff576,29-06-2015,125,48,0.2801344
15adc59_35ff576,29-06-2015,125,48,0.2851438
