1   4122166  4132319  4132319  4132319  4.12978e+06  4122166  4132319
2   214542   215148   214296   214050   214509       214050   215148
4   316790   316551   316731   316790   316716       316551   316790
8   507631   511345   513693   512751   511355       507631   513693
10  615001   616809   616583   617263   616414       615001   617263
12  719435   720361   720052   720671   720130       719435   720671
14  815219   823624   823624   823220   821422       815219   823624
16  923347   930517   931033   929486   928596       923347   931033
